_RAJ2000,_DEJ2000,HIP,RAhms,DEdms,Vmag,RAICRS,DEICRS,Plx,pmRA,pmDE,e_Plx,B-V,Notes,_RA_icrs,_DE_icrs,recno
0.2223452058,35.7526241534,74,00 00 53.25,+35 45 09.8,9.93,0.22187281,35.75272213,24.22,157.73,-40.31,1.36,1.068,,0.22234521,35.75262415,74
2.600381653,58.4894800142,848,00 10 24.20,+58 29 22.2,7.74,2.60083995,58.48950539,10.35,-98.55,-10.44,0.82,0.473,,2.60038165,58.48948001,847
4.4464715938,-66.3589059226,1419,00 17 47.06,-66 21 32.0,7.79,4.44607568,-66.35889343,12.92,65.32,-5.14,0.73,0.772,,4.44647159,-66.35890592,1419
12.5412515499,-83.7438990173,3911,00 50 09.16,-83 44 38.3,7.94,12.53815505,-83.7439717,16.94,138.83,29.9,0.61,0.522,,12.54125155,-83.74389902,3908
14.2983855995,-67.496261486,4460,00 57 11.58,-67 29 46.7,10.01,14.29823897,-67.49629775,3.08,23.09,14.92,1.1,0.537,,14.2983856,-67.49626149,4457
14.317791929,-51.5846394829,4468,00 57 16.17,-51 35 03.5,10.77,14.3173875,-51.58429906,34.4,103.39,-140.06,1.91,1.3,,14.31779193,-51.58463948,4465
14.5516873667,-64.7616085026,4548,00 58 12.41,-64 45 41.9,8.49,14.55169187,-64.76164552,5.67,-0.79,15.23,0.78,0.426,,14.55168737,-64.7616085,4544
14.7330595879,-76.5896935652,4599,00 58 55.52,-76 35 22.5,10.95,14.73132525,-76.58958196,5.56,165.49,-45.92,1.5,0.678,,14.73305959,-76.58969357,4596
15.2176235602,-24.4239445865,4739,01 00 52.16,-24 25 26.1,9.56,15.21733793,-24.423917,10.44,107.0,-11.35,1.44,0.555,,15.21762356,-24.42394459,4736
19.5954470422,63.5450451836,6105,01 18 22.91,+63 32 42.1,8.43,19.59547574,63.54502151,6.22,-5.26,9.74,1.49,0.223,,19.59544704,63.54504518,6100
20.4391091575,-46.7143789833,6365,01 21 45.48,-46 42 51.1,11.48,20.43952009,-46.71418505,42.73,-115.92,-79.79,3.53,1.627,,20.43910916,-46.71437898,6360
22.7565933736,-51.2154325816,7060,01 31 01.46,-51 12 54.9,7.76,22.75606539,-51.21526118,11.64,136.07,-70.52,0.75,0.624,,22.75659337,-51.21543258,7055
