HIP,RAhms,DEdms,TFOPWG Disposition
74,00 00 53.25,+35 45 09.8,PC
848,00 10 24.20,+58 29 22.2,APC
1419,00 17 47.06,-66 21 32.0,CP
3911,00 50 09.16,-83 44 38.3,CP
4460,00 57 11.58,-67 29 46.7,APC
4468,00 57 16.17,-51 35 03.5,PC
4548,00 58 12.41,-64 45 41.9,PC
4599,00 58 55.52,-76 35 22.5,PC
4739,01 00 52.16,-24 25 26.1,CP
6105,01 18 22.91,+63 32 42.1,FP
6365,01 21 45.48,-46 42 51.1,CP
7060,01 31 01.46,-51 12 54.9,FP
7132,01 31 53.53,+46 23 59.5,FP
7562,01 37 25.01,-45 40 40.6,KP
7730,01 39 32.25,-07 23 40.3,APC
8152,01 44 50.37,-18 24 02.3,CP
9618,02 03 36.93,+21 16 50.2,CP
10229,02 11 31.73,-76 06 27.6,PC
10389,02 13 49.90,-80 34 58.2,PC
10779,02 18 43.96,-54 51 35.3,PC
11397,02 26 51.06,+37 33 01.8,KP
11836,02 32 49.46,+05 12 36.4,PC
11865,02 33 05.38,-10 21 05.6,CP
12548,02 41 27.02,-71 27 44.4,FA
13192,02 49 44.32,+71 45 11.9,KP
13224,02 50 13.86,+25 20 01.2,CP
13363,02 51 56.16,-30 48 53.2,CP
13754,02 57 02.99,-56 11 32.0,CP
13913,02 59 10.36,+19 59 23.6,PC
14145,03 02 23.59,+43 11 02.0,FP
14710,03 10 03.89,-50 49 56.8,CP
14982,03 13 07.98,-34 22 32.3,PC
15053,03 13 59.89,-08 34 24.2,APC
15407,03 18 38.83,-42 38 31.6,APC
15767,03 23 12.07,+33 04 42.7,FP
16038,03 26 33.69,-43 36 48.6,CP
16212,03 28 54.14,-19 58 47.1,FP
16216,03 28 55.29,-19 58 26.4,PC
16521,03 32 42.69,-51 47 21.4,FA
16881,03 37 14.10,-44 28 19.4,PC
17047,03 39 16.80,-42 45 44.2,CP
17264,03 41 50.53,-62 46 01.1,CP
17540,03 45 21.06,+60 21 03.4,CP
17668,03 47 01.77,+08 39 53.3,PC
18761,04 01 06.76,+04 32 28.7,FP
18893,04 02 59.45,+09 12 32.0,CP
19950,04 16 44.21,-26 45 56.2,CP
19989,04 17 14.73,-38 50 39.0,FP
20295,04 20 57.10,-68 06 09.4,CP
20334,04 21 22.95,+62 14 45.6,PC
20504,04 23 39.78,-53 51 04.0,PC
20528,04 23 55.15,+27 49 21.5,CP
21000,04 30 12.52,+05 17 54.7,FP
21223,04 33 09.35,-36 56 46.1,PC
21952,04 43 06.04,-50 13 11.1,APC
22084,04 45 03.96,+05 52 18.2,FA
22414,04 49 25.43,-43 21 13.3,PC
22838,04 54 49.40,+22 08 47.6,PC
24007,05 09 34.63,+24 19 32.7,FP
24061,05 10 11.27,-57 35 12.0,FA
24323,05 13 10.92,+33 19 05.8,KP
24689,05 17 43.79,-00 22 12.3,FP
